Net Income (in millions),Close NASDQ,SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",medical cpi,US CPI,US GDP,DPI US,industrial production,Inflation Rate,PCE US,PPI US,Unemployment,Commercial and Industral loans,Government investment,roa,roi,roe,R&D expenses,EPS
0.277413752,0.005538,0.341922006,0.471755304,0.273572939,0.495978552,0.001867543,0.001319666,0.182319264,0.000630857,0.523459072,0.266666667,0.164570029,0,0.105269076,0.207779886,0.000789649,0.444027379,0.452088069,0.461393528,0.428846409,0.1178776
0.277413752,0.008654202,0.328690808,0.443923946,0.302959831,0.509383378,0.002801314,0.001979498,0.182796008,0.000946286,0.523571838,0.266666667,0.164721664,0,0.104849689,0.207938014,0.001184473,0.445924231,0.454103254,0.463629498,0.422076198,0.120741634
0.277413752,0.009666566,0.334261838,0.403416919,0.286469345,0.498659517,0.003735084,0.002639331,0.183272747,0.001261715,0.523684605,0.266666667,0.164873297,0,0.104430302,0.208096142,0.001579299,0.447821083,0.456118439,0.465865468,0.415305987,0.123605668
0.277413752,0.011548324,0.332869081,0.402865803,0.2794926,0.498659517,0.004668855,0.003299163,0.18374949,0.001577143,0.523797368,0.266666667,0.165024932,0,0.104010915,0.208254269,0.001974123,0.449717935,0.458133624,0.468101439,0.408535776,0.126469701
0.277413752,0.012661391,0.308147632,0.389914577,0.290486258,0.498659517,0.005602627,0.003958997,0.18422623,0.001892572,0.523910135,0.266666667,0.165176567,0,0.103591528,0.208412397,0.002368946,0.451614788,0.460148809,0.470337409,0.401765565,0.129333736
0.277413752,0.011140962,0.365598886,0.415541471,0.239957717,0.493297587,0.006536398,0.004618829,0.184702969,0.002208,0.524022901,0.266666667,0.165328201,0,0.103172141,0.208570525,0.002763772,0.45351164,0.462163994,0.472573379,0.394995354,0.132197769
0.277413752,0.013646511,0.35132312,0.411959217,0.26448203,0.504021448,0.007470169,0.005278662,0.185179712,0.002523429,0.524135667,0.266666667,0.165479836,0,0.102752754,0.208728653,0.003158596,0.455408492,0.464179178,0.474809349,0.388225142,0.135061803
0.277413752,0.010316728,0.375696379,0.464315238,0.220718816,0.485254692,0.009337712,0.006598328,0.186133195,0.003154285,0.5243612,0.266666667,0.165783104,0,0.10191398,0.209044908,0.003948245,0.457305344,0.466194363,0.477045319,0.381454932,0.137925836
0.277413752,0.011908688,0.371169916,0.442546156,0.230021142,0.509383378,0.010271482,0.00725816,0.186609934,0.003469713,0.524473967,0.266666667,0.165934739,0,0.101494593,0.209203036,0.004343069,0.459202197,0.468209548,0.47928129,0.374684721,0.140789871
0.277413752,0.010443756,0.353064067,0.445301736,0.270190275,0.522788204,0.011205253,0.007917994,0.187086678,0.003785142,0.524586733,0.266666667,0.166086374,0,0.101075206,0.209361164,0.004737893,0.461099049,0.470224733,0.48151726,0.367914509,0.143653904
0.277413752,0.011878596,0.391364903,0.491044365,0.219450317,0.525469169,0.012139024,0.008577826,0.187563417,0.00410057,0.524699499,0.266666667,0.166238007,0,0.100655819,0.209677419,0.005132718,0.462995901,0.472239918,0.48375323,0.361144298,0.146517938
0.277413752,0.011653713,0.391364903,0.491044365,0.219450317,0.506702413,0.013072796,0.009237659,0.188040157,0.004415999,0.524812266,0.266666667,0.166389642,0,0.100236432,0.209835547,0.005527542,0.464892754,0.474255103,0.4859892,0.354374087,0.149381971
0.277413752,0.016171816,0.394498607,0.503720033,0.234883721,0.522788204,0.014006567,0.009897491,0.1885169,0.004731428,0.524925029,0.266666667,0.166541277,0,0.099817045,0.209993675,0.005922366,0.466789606,0.476270288,0.48822517,0.347603876,0.152246006
0.277413752,0.021382392,0.392409471,0.528244696,0.234249471,0.538873995,0.014940338,0.010557325,0.188993639,0.005046856,0.525037796,0.266666667,0.166692911,0,0.099397658,0.210151803,0.006317192,0.468686458,0.478285473,0.49046114,0.340833665,0.155110039
0.277413752,0.021273281,0.366991643,0.516946817,0.257505285,0.533512064,0.015874108,0.011217157,0.189470382,0.005362285,0.525150562,0.266666667,0.166844546,0,0.098978271,0.21030993,0.006712015,0.47058331,0.480300658,0.492697111,0.334063454,0.157974073
0.277413752,0.021800137,0.373955432,0.503720033,0.267230444,0.528150134,0.01680788,0.01187699,0.189947122,0.005677714,0.525263329,0.266666667,0.166996181,0,0.098558884,0.210468058,0.007106841,0.472480163,0.482315843,0.494933081,0.327293243,0.160838107
